title,subj_terms,participant(s),reg_num,reg_date,t_type,conclusion_date,volume
Amendments to Regulation No. 36.  Uniform provisions concerning the approval of large passenger vehicles wi...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 36.  Uniform provisions concerning the approval of large passenger vehicles wi...,"Motor vehicles
",,A-4789,14/12/1992,Open Multilateral,14/12/1992,1698
Amendments to Regulation No. 36.  Uniform provisions concerning the approval of large passenger vehicles wi...,"Motor vehicles
",,A-4789,07/09/1986,Open Multilateral,07/09/1986,1436
Amendments to Regulation No. 34. Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,18/01/1979,Open Multilateral,18/01/1979,1122
Amendments to Regulation No. 34.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 33.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 32.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 30. Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,01/04/1997,Open Multilateral,05/03/1997,1971
Amendments to Regulation No. 30. Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,01/04/1997,Open Multilateral,05/03/1997,1971
Amendments to Regulation No. 30. Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,29/11/1990,Open Multilateral,29/11/1990,1585
Amendments to Regulation No. 30. Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,05/10/1987,Open Multilateral,05/10/1987,1483
Amendments to Regulation No. 30. Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,15/03/1981,Open Multilateral,15/03/1981,1218
Amendments to Regulation No. 30. Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,25/09/1977,Open Multilateral,25/09/1977,1055
Amendments to Regulation No. 30.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 30.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,08/01/1995,Open Multilateral,08/01/1995,1849
Amendments to Regulation No. 30.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,24/09/1992,Open Multilateral,24/09/1992,1689
Amendments to Regulation No. 30.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,01/03/1994,Open Multilateral,01/03/1994,1769
Amendments to Regulation No. 30.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,26/12/1996,Open Multilateral,26/12/1996,1954
Amendments to Regulation No. 3.  Uniform provisions concerning the approval of retro-reflecting devic...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 3.  Uniform provisions concerning the approval of retro-reflecting devic...,"Motor vehicles
",,A-4789,18/01/1998,Open Multilateral,18/01/1998,2000
Amendments to Regulation No. 3.  Uniform provisions concerning the approval of retro-reflecting devic...,"Motor vehicles
",,A-4789,15/02/1994,Open Multilateral,15/09/1993,1764
Amendments to Regulation No. 3.  Uniform provisions concerning the approval of retro-reflecting devic...,"Motor vehicles
",,A-4789,04/05/1991,Open Multilateral,04/05/1991,1607
Amendments to Regulation No. 3.  Uniform provisions concerning the approval of retro-reflecting devic...,"Motor vehicles
",,A-4789,01/07/1985,Open Multilateral,01/07/1985,1401
Amendments to Regulation No. 3.  Uniform provisions concerning the approval of retro-reflecting devic...,"Motor vehicles
",,A-4789,20/03/1982,Open Multilateral,20/03/1982,1271
Amendments to Regulation No. 29.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 28.  Uniform provisions concerning the approval of audible warning devices and ...,"Motor vehicles
",,A-4789,08/01/1991,Open Multilateral,08/01/1991,1590
Amendments to Regulation No. 28.  Uniform provisions concerning the approval of audible warning devices and ...,"Motor vehicles
",,A-4789,07/02/1984,Open Multilateral,07/02/1984,1348
Amendments to Regulation No. 27.  Uniform provisions for the approval of advance-warning ...,"Motor vehicles
",,A-4789,11/09/1973,Open Multilateral,11/04/1973,891
Amendments to Regulation No. 27.  Uniform provisions for the approval of advance-warning ...,"Motor vehicles
",,A-4789,18/01/1998,Open Multilateral,18/01/1998,2000
Amendments to Regulation No. 27.  Uniform provisions for the approval of advance-warning ...,"Motor vehicles
",,A-4789,03/03/1985,Open Multilateral,03/03/1985,1390
Amendments to Regulation No. 27.  Uniform provisions for the approval of advance-warning ...,"Motor vehicles
",,A-4789,01/07/1977,Open Multilateral,01/07/1977,1048
Amendments to Regulation No. 26. Uniform provisions concerning the approval of vehicles with regard to their ...,"Motor vehicles
",,A-4789,11/09/1973,Open Multilateral,11/04/1973,891
Amendments to Regulation No. 26. Uniform provisions concerning the approval of vehicles with regard to their ...,"Motor vehicles
",,A-4789,13/12/1996,Open Multilateral,13/12/1996,1952
Amendments to Regulation No. 26.  Uniform provisions concerning the approval of vehicles with regard to their ...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 25.  Uniform provisions concerning the approval of head restraints (headrests...,"Motor vehicles
",,A-4789,15/01/1997,Open Multilateral,15/01/1997,1962
Amendments to Regulation No. 25.  Uniform provisions concerning the approval of head restraints (headrests...,"Motor vehicles
",,A-4789,30/01/1994,Open Multilateral,30/01/1994,1763
Amendments to Regulation No. 25.  Uniform provisions concerning the approval of head restraints (headrests...,"Motor vehicles
",,A-4789,20/11/1989,Open Multilateral,20/11/1989,1548
Amendments to Regulation No. 25.  Uniform provisions concerning the approval of head restraints (headrests...,"Motor vehicles
",,A-4789,03/05/1987,Open Multilateral,03/05/1987,1462
Amendments to Regulation No. 25.  Uniform provisions concerning the approval of head restraints (headrests...,"Motor vehicles
",,A-4789,26/04/1986,Open Multilateral,26/04/1986,1425
Amendments to Regulation No. 25.  Uniform provisions concerning the approval of head restraints (headrests...,"Motor vehicles
",,A-4789,11/08/1981,Open Multilateral,11/08/1981,1247
Amendments to Regulation No. 24.  Uniform provisions concerning:  I. The approval of compression with rega...,"Motor vehicles
",,A-4789,11/09/1973,Open Multilateral,11/04/1973,891
Amendments to Regulation No. 24.  Uniform provisions concerning:  I. The approval of compression with rega...,"Motor vehicles
",,A-4789,20/04/1986,Open Multilateral,20/04/1986,1423
Amendments to Regulation No. 24.  Uniform provisions concerning:  I. The approval of compression with rega...,"Motor vehicles
",,A-4789,15/02/1984,Open Multilateral,15/02/1984,1349
Amendments to Regulation No. 24.  Uniform provisions concerning:  I. The approval of compression with rega...,"Motor vehicles
",,A-4789,01/02/1980,Open Multilateral,11/02/1980,1157
Amendments to Regulation No. 23.  Uniform provisions concerning the approval of reversing lights for ...,"Motor vehicles
",,A-4789,28/02/1989,Open Multilateral,28/02/1989,1525
Amendments to Regulation No. 23.  Uniform provisions concerning the approval of reversing lights for ...,"Motor vehicles
",,A-4789,24/09/1992,Open Multilateral,24/09/1992,1689
Amendments to Regulation No. 23.  Uniform provisions concerning the approval of reversing lights for ...,"Motor vehicles
",,A-4789,11/02/1996,Open Multilateral,11/02/1996,1911
Amendments to Regulation No. 23.  Uniform provisions concerning the approval of reversing lights for ...,"Motor vehicles
",,A-4789,18/01/1998,Open Multilateral,18/01/1998,2000
Amendments to Regulation No. 23.  Uniform provisions concerning the approval of reversing lights for ...,"Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/12/1990,1607
Amendments to Regulation No. 23.  Uniform provisions concerning the approval of reversing lights for ...,"Motor vehicles
",,A-4789,22/03/1977,Open Multilateral,22/03/1977,1038
Amendments to Regulation No. 22.  Uniform provisions concerning the approval of protective helmets a...,"Motor vehicles
",,A-4789,16/07/1983,Open Multilateral,16/07/1983,1323
Amendments to Regulation No. 22.  Uniform provisions concerning the approval of protective helmets a...,"Motor vehicles
",,A-4789,20/03/1995,Open Multilateral,20/03/1995,1861
Amendments to Regulation No. 22.  Uniform provisions concerning the approval of protective helmets a...,"Motor vehicles
",,A-4789,18/01/1998,Open Multilateral,18/01/1998,2000
Amendments to Regulation No. 22.  Uniform provisions concerning the approval of protective helmets a...,"Motor vehicles
",,A-4789,05/05/1991,Open Multilateral,05/05/1991,1607
Amendments to Regulation No. 22.  Uniform provisions concerning the approval of protective helmets a...,"Motor vehicles
",,A-4789,19/07/1988,Open Multilateral,19/07/1988,1509
Amendments to Regulation No. 22.  Uniform provisions concerning the approval of protective helmets a...,"Motor vehicles
",,A-4789,24/03/1982,Open Multilateral,24/03/1982,1271
Amendments to Regulation No. 21.  Uniform provisions concerning the approval of vehicles with regard to their ...,"Motor vehicles
",,A-4789,18/01/1998,Open Multilateral,18/01/1998,2000
Amendments to Regulation No. 21.  Uniform provisions concerning the approval of vehicles with regard to their ...,"Motor vehicles
",,A-4789,26/04/1986,Open Multilateral,26/04/1986,1425
Amendments to Regulation No. 21.  Uniform provisions concerning the approval of vehicles with regard to their ...,"Motor vehicles
",,A-4789,08/10/1980,Open Multilateral,08/10/1980,1199
Amendments to Regulation No. 20. Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,27/10/1992,Open Multilateral,27/10/1992,1693
Amendments to Regulation No. 20.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,02/12/1992,Open Multilateral,02/12/1992,1696
Amendments to Regulation No. 20.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,28/02/1990,Open Multilateral,28/02/1990,1559
Amendments to Regulation No. 20.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,03/07/1986,Open Multilateral,03/07/1986,1429
Amendments to Regulation No. 20.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,05/03/1994,Open Multilateral,05/03/1994,1770
Amendments to Regulation No. 20.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,27/11/1994,Open Multilateral,27/06/1994,1840
Amendments to Regulation No. 20.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,15/08/1976,Open Multilateral,15/08/1976,1019
Amendments to Regulation No. 2.  Uniform provisions concerning the approval of incandescent electr...,"Motor vehicles
",,A-4789,09/03/1986,Open Multilateral,09/03/1986,1421
Amendments to Regulation No. 2.  Uniform provisions concerning the approval of incandescent electr...,"Motor vehicles
",,A-4789,29/08/1982,Open Multilateral,29/03/1982,1287
Amendments to Regulation No. 2.  Uniform provisions concerning the approval of incandescent electr...,"Motor vehicles
",,A-4789,26/09/1978,Open Multilateral,26/09/1978,1106
Amendments to Regulation No. 2.  Uniform provisions concerning the approval of incandescent electr...,"Motor vehicles
",,A-4789,30/01/1966,Open Multilateral,30/01/1966,552
Amendments to Regulation No. 2.  Uniform provisions concerning the approval of incandescent electr...,"Motor vehicles
",,A-4789,28/04/1963,Open Multilateral,28/04/1963,462
Amendments to Regulation No. 19. Uniform provisions concerning the approval of motor vehicle fog lamps,"Motor vehicles
",,A-4789,27/10/1992,Open Multilateral,27/10/1992,1693
Amendments to Regulation No. 19.  Uniform provisions concerning the approval of motor vehicle fog lamps,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 19.  Uniform provisions concerning the approval of motor vehicle fog lamps,"Motor vehicles
",,A-4789,28/02/1989,Open Multilateral,28/02/1989,1525
Amendments to Regulation No. 19.  Uniform provisions concerning the approval of motor vehicle fog lamps,"Motor vehicles
",,A-4789,16/06/1995,Open Multilateral,16/06/1995,1870
Amendments to Regulation No. 19.  Uniform provisions concerning the approval of motor vehicle fog lamps,"Motor vehicles
",,A-4789,15/01/1997,Open Multilateral,15/01/1997,1962
Amendments to Regulation No. 19.  Uniform provisions concerning the approval of motor vehicle fog lamps,"Motor vehicles
",,A-4789,27/04/1998,Open Multilateral,27/04/1998,2013
Amendments to Regulation No. 19.  Uniform provisions concerning the approval of motor vehicle fog lamps,"Motor vehicles
",,A-4789,28/11/1990,Open Multilateral,28/11/1990,1584
Amendments to Regulation No. 19.  Uniform provisions concerning the approval of motor vehicle fog lamps,"Motor vehicles
",,A-4789,08/05/1988,Open Multilateral,08/05/1988,1504
Amendments to Regulation No. 19.  Uniform provisions concerning the approval of motor vehicle fog lamps,"Motor vehicles
",,A-4789,12/09/1975,Open Multilateral,12/09/1975,981
Amendments to Regulation No. 18.  Uniform provisions concerning the approval of motor vehicles with regard ...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 18.  Uniform provisions concerning the approval of motor vehicles with regard ...,"Motor vehicles
",,A-4789,03/09/1997,Open Multilateral,03/09/1997,1989
Amendments to Regulation No. 18.  Uniform provisions concerning the approval of motor vehicles with regard ...,"Motor vehicles
",,A-4789,24/11/1980,Open Multilateral,24/11/1980,1205
Amendments to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,26/12/1996,Open Multilateral,26/12/1996,1954
Amendments to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,18/01/1998,Open Multilateral,18/01/1998,2000
Amendments to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,17/11/1999,Open Multilateral,17/11/1999,2090
Amendments to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,06/08/1998,Open Multilateral,06/08/1998,2030
Amendments to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,26/01/1994,Open Multilateral,26/01/1994,1763
Amendments to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,28/01/1990,Open Multilateral,28/01/1990,1557
Amendments to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,01/05/1986,Open Multilateral,01/05/1986,1425
Amendments to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,09/03/1981,Open Multilateral,09/03/1981,1216
Amendments to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,11/09/1973,Open Multilateral,11/04/1973,891
"Amendments to Regulation No. 16.  Uniform provisions concerning the approval of:     I.   Safety-belts, restrai...","Motor vehicles
",,A-4789,18/06/2007,Open Multilateral,18/06/2007,2444
Amendments to Regulation No. 16.  Uniform provisions concerning the approval of:     I.   Safety-belts and ...,"Motor vehicles
",,A-4789,08/09/2001,Open Multilateral,08/09/2001,2160
Amendments to Regulation No. 16.  Uniform provisions concerning the approval of safety-belts and ...,"Motor vehicles
",,A-4789,18/10/1995,Open Multilateral,18/10/1995,1891
Amendments to Regulation No. 16.  Uniform provisions concerning the approval of safety-belts and ...,"Motor vehicles
",,A-4789,18/01/1998,Open Multilateral,18/01/1998,2000
Amendments to Regulation No. 16.  Uniform provisions concerning the approval of safety-belts and ...,"Motor vehicles
",,A-4789,16/08/1993,Open Multilateral,16/08/1993,1730
Amendments to Regulation No. 16.  Uniform provisions concerning the approval of safety-belts and ...,"Motor vehicles
",,A-4789,04/10/1992,Open Multilateral,04/10/1992,1691
Amendments to Regulation No. 16.  Uniform provisions concerning the approval of safety-belts and ...,"Motor vehicles
",,A-4789,20/11/1989,Open Multilateral,20/11/1989,1548
Amendments to Regulation No. 16.  Uniform provisions concerning the approval of safety-belts and ...,"Motor vehicles
",,A-4789,15/06/1988,Open Multilateral,15/06/1988,1506
Amendments to Regulation No. 16.  Uniform provisions concerning the approval of safety-belts and ...,"Motor vehicles
",,A-4789,22/12/1985,Open Multilateral,22/12/1985,1413
Amendments to Regulation No. 16.  Uniform provisions concerning the approval of safety-belts and ...,"Motor vehicles
",,A-4789,09/12/1979,Open Multilateral,09/12/1979,1153
Amendments to Regulation No. 16.  Uniform provisions concerning the approval of safety-belts and ...,"Motor vehicles
",,A-4789,03/10/1973,Open Multilateral,03/05/1973,893
Amendments to Regulation No. 15.  Uniform provisions concerning the approval of vehicles equipped with a ...,"Motor vehicles
",,A-4789,06/03/1978,Open Multilateral,06/10/1977,1078
Amendments to Regulation No. 15.  Uniform provisions concerning the approval of vehicles equipped with a ...,"Motor vehicles
",,A-4789,20/10/1981,Open Multilateral,20/10/1981,1253
Amendments to Regulation No. 15.  Uniform provisions concerning the approval of vehicles equipped with a ...,"Motor vehicles
",,A-4789,06/03/1978,Open Multilateral,06/03/1978,1078
Amendments to Regulation No. 15.  Uniform provisions concerning the approval of vehicles equipped with a ...,"Motor vehicles
",,A-4789,11/12/1974,Open Multilateral,11/12/1974,955
Amendments to Regulation No. 15.  Uniform provisions concerning the approval of vehicles equipped with a ...,"Motor vehicles
",,A-4789,01/06/1984,Open Multilateral,01/06/1984,1358
Amendments to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with regard to ...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with regard to ...,"Motor vehicles
",,A-4789,18/01/1998,Open Multilateral,18/01/1998,2000
Amendments to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with regard to ...,"Motor vehicles
",,A-4789,20/03/1985,Open Multilateral,20/03/1985,1392
Amendments to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with regard to ...,"Motor vehicles
",,A-4789,29/01/1992,Open Multilateral,29/01/1992,1664
Amendments to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with regard to ...,"Motor vehicles
",,A-4789,22/11/1984,Open Multilateral,22/11/1984,1380
Amendments to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with regard to ...,"Motor vehicles
",,A-4789,21/05/1971,Open Multilateral,21/12/1970,778
Amendments to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with regard to ...,"Motor vehicles
",,A-4789,28/04/1976,Open Multilateral,28/04/1976,1006
Amendments to Regulation No. 13-H.  Uniform provisions concerning the approval of passenger cars with ...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
"Amendments to Regulation No. 13.  Uniform provisions concerning the approval of vehicles of categories M, N and...","Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
"Amendments to Regulation No. 13.  Uniform provisions concerning the approval of vehicles of categories M, N and...","Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
"Amendments to Regulation No. 13.  Uniform provisions concerning the approval of vehicles of categories M, N and...","Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
"Amendments to Regulation No. 13.  Uniform provisions concerning the approval of vehicles of categories M, N and...","Motor vehicles
",,A-4789,09/11/2005,Open Multilateral,09/11/2005,2346
"Amendments to Regulation No. 13.  Uniform provisions concerning the approval of vehicles of categories M, N and...","Motor vehicles
",,A-4789,09/11/2005,Open Multilateral,09/11/2005,2346
"Amendments to Regulation No. 13.  Uniform provisions concerning the approval of vehicles of categories M, N and...","Motor vehicles
",,A-4789,04/04/2005,Open Multilateral,04/04/2005,2312
"Amendments to Regulation No. 13.  Uniform provisions concerning the approval of vehicles of categories M, N and...","Motor vehicles
",,A-4789,04/04/2005,Open Multilateral,04/04/2005,2312
Amendments to Regulation No. 121.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 12.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,12/12/1996,Open Multilateral,12/12/1996,1952
Amendments to Regulation No. 119. Uniform provisions concerning the approval of cornering lamps for ...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 117.  Uniform provisions concerning the approval of tyres with regard to rolli...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 113.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,11/08/2002,Open Multilateral,11/08/2002,2194
Amendments to Regulation No. 112.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 112.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,11/08/2002,Open Multilateral,11/08/2002,2194
Amendments to Regulation No. 11.  Uniform provisions concerning the approval of vehicles with regard to door ...,"Motor vehicles
",,A-4789,11/06/2007,Open Multilateral,11/06/2007,2444
Amendments to Regulation No. 11.  Uniform provisions concerning the approval of vehicles with regard to door ...,"Motor vehicles
",,A-4789,20/04/1986,Open Multilateral,20/04/1986,1423
Amendments to Regulation No. 109.  Uniform provisions concerning the approval for the production of retread...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 107.  Uniform provisions concerning the approval of double-deck large ...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 106.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 106.  Uniform provisions concerning the approval of pneumatic tyres for ...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 105.  Uniform provisions concerning the approval of vehicles intended for the ...,"Motor vehicles
",,A-4789,18/06/2007,Open Multilateral,18/06/2007,2444
Amendments to Regulation No. 104.  Uniform provisions concerning the approval of retro-reflective ...,"Motor vehicles
",,A-4789,18/06/2007,Open Multilateral,18/06/2007,2444
Amendments to Regulation No. 104.  Uniform provisions concerning the approval of retro-reflective ...,"Motor vehicles
",,A-4789,02/02/2007,Open Multilateral,02/02/2007,2417
Amendments to Regulation No. 101.  Uniform provisions concerning the approval of passenger cars power...,"Motor vehicles
",,A-4789,18/06/2007,Open Multilateral,18/06/2007,2444
Amendments to Regulation No. 101.  Uniform provisions concerning the approval of passenger cars equipp...,"Motor vehicles
",,A-4789,10/08/1997,Open Multilateral,10/08/1997,1986
Amendments to Regulation No. 10.  Uniform provisions concerning the approval of vehicles with regard to radio ...,"Motor vehicles
",,A-4789,03/09/1997,Open Multilateral,03/09/1997,1989
Amendments to Regulation No. 10.  Uniform provisions concerning the approval of vehicles with regard to radio ...,"Motor vehicles
",,A-4789,19/03/1978,Open Multilateral,19/03/1978,1079
Amendments to Regulation No. 1.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,30/01/1966,Open Multilateral,30/01/1966,552
Amendments to Regulation No. 1.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,28/04/1963,Open Multilateral,28/04/1963,462
Amendments to Regulation No. 1.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,28/04/1963,Open Multilateral,28/04/1963,462
Amendments to Regulation No. 1 Uniform provisions concerning the  approval of motor vehicle headlamps emitting ...,"Motor vehicles
",,A-4789,27/10/1992,Open Multilateral,27/10/1992,1693
Amendments to Regulation No. 1 Uniform provisions concerning the  approval of motor vehicle headlamps emitting ...,"Motor vehicles
",,A-4789,26/12/1996,Open Multilateral,26/12/1996,1954
Amendments to Regulation No. 1  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,14/02/1994,Open Multilateral,14/09/1993,1764
Amendments to Regulation No. 1  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,02/12/1992,Open Multilateral,02/12/1992,1696
Amendments to Regulation No. 1  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,14/05/1990,Open Multilateral,14/05/1990,1565
Amendments to Regulation No. 1  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,18/03/1986,Open Multilateral,18/03/1986,1422
Amendments to Regulation No. 1  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,18/03/1986,Open Multilateral,18/03/1986,1422
Amendments to Regulation  No. 49.  Uniform provisions concerning the approval of compression ignition ...,"Motor vehicles
",,A-4789,18/05/1996,Open Multilateral,18/05/1996,1921
Amendments to Regulation  No. 49.  Uniform provisions concerning the approval of compression ignition ...,"Motor vehicles
",,A-4789,28/08/1996,Open Multilateral,28/08/1996,1933
Amendments to Regulation  No. 49.  Uniform provisions concerning the approval of compression ignition ...,"Motor vehicles
",,A-4789,30/12/1992,Open Multilateral,30/12/1992,1700
Amendments to Regulation  No. 49.  Uniform provisions concerning the approval of compression ignition ...,"Motor vehicles
",,A-4789,14/05/1990,Open Multilateral,14/05/1990,1565
Amendments to Annexes VIII and IX of the Basel Convention on the Control of Transboundary Movements of Hazardo...,"Pollution
Environment
",,A-28911,08/10/2005,Open Multilateral,08/10/2005,2339
Amendments to Annexes VIII and IX of the Basel Convention on the Control of Transboundary Movements of Hazardo...,"Pollution
Environment
",,A-28911,20/11/2003,Open Multilateral,20/11/2003,2232
Amendment to Regulation No. 8.  Uniform provisions concerning the approval of motor vehicle headlamps ...,"Motor vehicles
",,A-4789,25/01/1971,Open Multilateral,25/01/1971,764
Amendment to Regulation No. 12.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,24/08/1993,Open Multilateral,24/08/1993,1731
Amendment to Regulation No. 12.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,14/11/1982,Open Multilateral,14/11/1982,1293
Amendment to Regulation No. 12.  Uniform provisions concerning the approval of vehicles with regard to the ...,"Motor vehicles
",,A-4789,20/10/1974,Open Multilateral,20/10/1974,951
Amendment to article 8 of the International Convention on the Elimination of All Forms of Racial Discriminati...,"Human rights
",,N/A,,Open Multilateral,15/01/1992,Not Available
"Amendment to Article 1, paragraph 1 of the Agreement concerning the Adoption of Uniform Technical Prescriptio...","Motor vehicles
",,A-4789,10/11/1967,Open Multilateral,10/11/1967,609
Amendment to Annex I and adoption of Annexes VIII and IX to the Basel Convention on the Control of Transbounda...,"Pollution
Environment
",,A-28911,06/11/1998,Open Multilateral,06/11/1998,2046
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,18/09/1994,Open Multilateral,18/04/1994,1822
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,26/03/1995,Open Multilateral,26/03/1995,1861
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,28/08/1996,Open Multilateral,28/08/1996,1933
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,28/08/1996,Open Multilateral,28/08/1996,1933
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,15/01/1997,Open Multilateral,15/01/1997,1962
